archived,first_name,last_name,email,house
false,Abbigail,Lynch,abbigaillynch@fake.email,Team Kiwi
false,Abigale,Simonis,abigalesimonis@fake.email,Team Guava
false,Adalberto,Schinner,adalbertoschinner@fake.email,Team Dragonfruit
false,Adriel,Bogan,adrielbogan@fake.email,Team Guava
false,Adrienne,Pacocha,adriennepacocha@fake.email,Team Durian
false,Ahmad,Hoeger,ahmadhoeger@fake.email,Team Dragonfruit
false,Ahmad,Schuppe,ahmadschuppe@fake.email,Team Kiwi
false,Ahmed,Mante,ahmedmante@fake.email,Team Kiwi
false,Aidan,Kuhn,aidankuhn@fake.email,Team Durian
false,Alan,Simonis,alansimonis@fake.email,Team Durian
false,Alden,Wilkinson,aldenwilkinson@fake.email,Team Kiwi
false,Alek,Mueller,alekmueller@fake.email,Team Dragonfruit
false,Alex,Rempel,alexrempel@fake.email,Team Durian
false,Alexandria,Carter,alexandriacarter@fake.email,Team Guava
false,Alexanne,Veum,alexanneveum@fake.email,Team Dragonfruit
false,Alexie,White,alexiewhite@fake.email,Team Guava
false,Alfonso,Hessel,alfonsohessel@fake.email,Team Durian
false,Alfred,Pacocha,alfredpacocha@fake.email,Team Durian
false,Alivia,Schinner,aliviaschinner@fake.email,Team Kiwi
false,Alta,Haley,altahaley@fake.email,Team Kiwi
false,Alvera,Friesen,alverafriesen@fake.email,Team Dragonfruit
false,Alverta,Hirthe,alvertahirthe@fake.email,Team Kiwi
false,Alyce,Cartwright,alycecartwright@fake.email,Team Durian
false,Alycia,Gorczany,alyciagorczany@fake.email,Team Dragonfruit
false,Amaya,Tromp,amayatromp@fake.email,Team Kiwi
false,Amber,Dicki,amberdicki@fake.email,Team Durian
false,Amber,Stracke,amberstracke@fake.email,Team Kiwi
false,Amely,Goyette,amelygoyette@fake.email,Team Dragonfruit
false,Amie,Rau,amierau@fake.email,Team Dragonfruit
false,Amira,Wiegand,amirawiegand@fake.email,Team Kiwi
false,Ana,Deckow,anadeckow@fake.email,Team Guava
false,Anabel,Roob,anabelroob@fake.email,Team Guava
false,Anahi,Sauer,anahisauer@fake.email,Team Durian
false,Andrew,Huel,andrewhuel@fake.email,Team Dragonfruit
false,Angel,Ernser,angelernser@fake.email,Team Dragonfruit
false,Anjali,Kiehn,anjalikiehn@fake.email,Team Guava
false,Annetta,Lesch,annettalesch@fake.email,Team Durian
false,Ansel,Emmerich,anselemmerich@fake.email,Team Kiwi
false,Ari,Adams,ariadams@fake.email,Team Guava
false,Arianna,Funk,ariannafunk@fake.email,Team Dragonfruit
false,Ariel,White,arielwhite@fake.email,Team Guava
false,Arlo,Stoltenberg,arlostoltenberg@fake.email,Team Durian
false,Armani,Lynch,armanilynch@fake.email,Team Dragonfruit
false,Arno,Blick,arnoblick@fake.email,Team Guava
false,Arvel,Romaguera,arvelromaguera@fake.email,Team Dragonfruit
false,Arvid,Wiegand,arvidwiegand@fake.email,Team Dragonfruit
false,Ashlee,Goyette,ashleegoyette@fake.email,Team Guava
false,Ashley,Rath,ashleyrath@fake.email,Team Guava
false,Aubree,Torphy,aubreetorphy@fake.email,Team Durian
false,Augustus,Gutmann,augustusgutmann@fake.email,Team Durian
false,Aurelio,Cronin,aureliocronin@fake.email,Team Kiwi
false,Austyn,Cruickshank,austyncruickshank@fake.email,Team Guava
false,Austyn,Johnston,austynjohnston@fake.email,Team Durian
false,Autumn,Wolf,autumnwolf@fake.email,Team Kiwi
false,Axel,Wilkinson,axelwilkinson@fake.email,Team Kiwi
false,Bernhard,Parisian,bernhardparisian@fake.email,Team Dragonfruit
false,Bette,Harris,betteharris@fake.email,Team Dragonfruit
false,Bette,Lesch,bettelesch@fake.email,Team Guava
false,Bettie,Hessel,bettiehessel@fake.email,Team Guava
false,Beulah,Herzog,beulahherzog@fake.email,Team Guava
false,Bill,Veum,billveum@fake.email,Team Durian
false,Bill,Walker,billwalker@fake.email,Team Guava
false,Billie,Lang,billielang@fake.email,Team Kiwi
false,Blair,Reinger,blairreinger@fake.email,Team Dragonfruit
false,Blaise,Predovic,blaisepredovic@fake.email,Team Durian
false,Boyd,Muller,boydmuller@fake.email,Team Durian
false,Brannon,Lesch,brannonlesch@fake.email,Team Kiwi
false,Branson,Stracke,bransonstracke@fake.email,Team Dragonfruit
false,Braulio,Runolfsson,brauliorunolfsson@fake.email,Team Kiwi
false,Brayan,Mraz,brayanmraz@fake.email,Team Dragonfruit
false,Breana,Casper,breanacasper@fake.email,Team Dragonfruit
false,Brendon,Casper,brendoncasper@fake.email,Team Kiwi
false,Brenna,Schmeler,brennaschmeler@fake.email,Team Kiwi
false,Bridgette,Yundt,bridgetteyundt@fake.email,Team Guava
false,Bridie,Gorczany,bridiegorczany@fake.email,Team Dragonfruit
false,Britney,Haley,britneyhaley@fake.email,Team Durian
false,Brittany,Abbott,brittanyabbott@fake.email,Team Guava
false,Broderick,Witting,broderickwitting@fake.email,Team Kiwi
false,Brook,Schmeler,brookschmeler@fake.email,Team Kiwi
false,Brook,Strosin,brookstrosin@fake.email,Team Guava
false,Bruce,Altenwerth,brucealtenwerth@fake.email,Team Dragonfruit
false,Caesar,Jenkins,caesarjenkins@fake.email,Team Guava
false,Caleigh,Predovic,caleighpredovic@fake.email,Team Durian
false,Cali,Zboncak,calizboncak@fake.email,Team Guava
false,Cameron,Cronin,cameroncronin@fake.email,Team Durian
false,Camron,Kuphal,camronkuphal@fake.email,Team Durian
false,Candice,Botsford,candicebotsford@fake.email,Team Durian
false,Carmella,Simonis,carmellasimonis@fake.email,Team Durian
false,Carol,Murphy,carolmurphy@fake.email,Team Kiwi
false,Carolyn,Anderson,carolynanderson@fake.email,Team Durian
false,Carolyne,Tillman,carolynetillman@fake.email,Team Guava
false,Cassie,Kozey,cassiekozey@fake.email,Team Dragonfruit
false,Ceasar,Toy,ceasartoy@fake.email,Team Dragonfruit
false,Cecilia,Schultz,ceciliaschultz@fake.email,Team Kiwi
false,Charlene,Ziemann,charleneziemann@fake.email,Team Kiwi
false,Chaz,Nitzsche,chaznitzsche@fake.email,Team Guava
false,Chelsey,Vandervort,chelseyvandervort@fake.email,Team Durian
false,Christy,Jenkins,christyjenkins@fake.email,Team Kiwi
false,Chyna,Wilderman,chynawilderman@fake.email,Team Durian
false,Clarissa,Greenfelder,clarissagreenfelder@fake.email,Team Kiwi
false,Claudine,Goyette,claudinegoyette@fake.email,Team Dragonfruit
false,Claudine,Quitzon,claudinequitzon@fake.email,Team Dragonfruit
false,Clement,Harvey,clementharvey@fake.email,Team Guava
false,Cletus,Murray,cletusmurray@fake.email,Team Dragonfruit
false,Cleveland,Kuhic,clevelandkuhic@fake.email,Team Kiwi
false,Clifton,Denesik,cliftondenesik@fake.email,Team Guava
false,Coby,Schamberger,cobyschamberger@fake.email,Team Guava
false,Connor,Marquardt,connormarquardt@fake.email,Team Dragonfruit
false,Cristobal,Fahey,cristobalfahey@fake.email,Team Guava
false,Curtis,Auer,curtisauer@fake.email,Team Kiwi
false,Cydney,Leannon,cydneyleannon@fake.email,Team Durian
false,Cydney,McGlynn,cydneymcglynn@fake.email,Team Guava
false,Dante,Donnelly,dantedonnelly@fake.email,Team Dragonfruit
false,Dario,Greenholt,dariogreenholt@fake.email,Team Guava
false,Darrick,Hodkiewicz,darrickhodkiewicz@fake.email,Team Durian
false,Darrin,McClure,darrinmcclure@fake.email,Team Kiwi
false,Daryl,Dickens,daryldickens@fake.email,Team Durian
